"id","G","region","age_band","income","credit_score","employment_yrs","score","Y","Yhat","ZG"
1,1,0,"31-50",42800,671,4.8,0.5581,1,1,2
2,0,1,"31-50",40516,749,5.7,0.7632,1,1,1
3,1,1,"51+",35867,699,10.2,0.5799,1,1,3
4,0,1,"31-50",12462,557,11.4,0.0123,0,0,1
5,0,0,"31-50",25224,690,4.5,0.308,1,0,0
6,1,0,"31-50",29956,711,7.6,0.4986,0,0,2
7,1,0,"51+",34902,582,9.6,0.2655,1,0,2
8,0,1,"51+",30873,508,2.4,0.0392,0,0,1
9,0,1,"51+",41955,641,8.3,0.5162,0,1,1
10,1,0,"31-50",28616,620,3.6,0.1663,0,0,2
11,0,0,"18-30",29112,667,7,0.1907,0,0,0
12,1,1,"51+",34089,675,12.4,0.648,1,1,3
13,0,0,"18-30",45433,762,3.9,0.6989,0,1,0
14,0,1,"31-50",22067,754,9.1,0.4654,0,0,1
15,1,1,"18-30",27634,709,10,0.6737,1,1,3
16,0,1,"31-50",42316,593,4.8,0.1935,0,0,1
17,1,0,"31-50",40273,569,10.9,0.1891,0,0,2
18,1,0,"31-50",35340,633,5.9,0.2929,0,0,2
19,1,1,"31-50",34229,585,10.8,0.1631,0,0,3
20,0,1,"51+",13321,699,9.6,0.171,0,0,1
21,0,1,"31-50",36170,594,4.5,0.1608,0,0,1
22,0,1,"31-50",32864,659,4.4,0.4041,0,0,1
23,0,1,"51+",42831,683,8.2,0.6303,1,1,1
24,0,0,"51+",30191,715,3,0.3985,0,0,0
25,0,1,"18-30",42072,711,2.9,0.5798,0,1,1
26,0,0,"31-50",36020,631,11.3,0.5473,0,1,0
27,1,0,"18-30",45928,680,12.5,0.7902,1,1,2
28,0,1,"18-30",19632,606,5.5,0.0594,0,0,1
29,1,1,"31-50",47934,677,11.4,0.8393,1,1,3
30,1,1,"31-50",46264,556,8.6,0.7067,1,1,3
31,0,0,"18-30",44508,538,8,0.2609,0,0,0
32,0,1,"18-30",33554,675,6.6,0.5596,1,1,1
33,0,1,"31-50",25321,644,12.7,0.1293,0,0,1
34,0,0,"51+",32864,653,0.6,0.1997,0,0,0
35,1,0,"31-50",46038,589,13.4,0.4681,1,0,2
36,1,1,"18-30",47053,690,10.9,0.8611,1,1,3
37,0,1,"51+",44637,806,8.3,0.9442,1,1,1
38,1,0,"31-50",39469,762,10.6,0.8613,1,1,2
39,1,1,"31-50",52629,633,3.8,0.4666,0,0,3
40,1,1,"31-50",33693,605,7.6,0.25,0,0,3
41,1,1,"31-50",18565,774,6.2,0.4114,0,0,3
42,1,0,"31-50",41831,686,9.9,0.8775,1,1,2
43,1,1,"31-50",39716,632,14.3,0.6569,0,1,3
44,1,1,"31-50",29568,553,0.3,0.0737,0,0,3
45,1,0,"31-50",41103,637,12.5,0.3557,0,0,2
46,1,1,"31-50",30111,595,8.8,0.4846,0,0,3
47,1,1,"31-50",33317,558,9.4,0.0967,0,0,3
48,1,0,"51+",51194,716,4.7,0.7642,1,1,2
49,1,0,"31-50",15535,722,4.5,0.3573,1,0,2
50,0,1,"31-50",36559,677,3,0.3524,0,0,1
51,1,0,"31-50",36345,686,17.7,0.6618,1,1,2
52,1,0,"51+",35023,608,14.8,0.728,0,1,2
53,0,1,"51+",35045,668,6.5,0.3048,0,0,1
54,1,1,"51+",36138,724,14.6,0.4748,0,0,3
55,0,0,"18-30",29729,654,0.6,0.2528,0,0,0
56,1,0,"31-50",28901,819,12,0.8763,1,1,2
57,1,1,"51+",52794,622,6.3,0.6854,1,1,3
58,0,1,"31-50",41243,686,15.1,0.6375,1,1,1
59,0,0,"31-50",23851,518,11,0.0441,0,0,0
60,1,1,"31-50",37491,858,0.9,0.9097,1,1,3
61,0,0,"18-30",39275,583,11.3,0.2027,0,0,0
62,1,1,"51+",35493,581,1.6,0.1986,1,0,3
63,1,0,"18-30",40359,604,15.9,0.7537,0,1,2
64,1,0,"31-50",40937,687,0.8,0.5956,1,1,2
65,0,0,"18-30",47045,568,2.3,0.3178,0,0,0
66,1,1,"31-50",33720,633,8.6,0.5478,1,1,3
67,0,0,"18-30",40136,657,4.2,0.2563,0,0,0
68,0,0,"31-50",29253,623,8.5,0.2536,0,0,0
69,0,1,"31-50",31788,644,1.9,0.14,0,0,1
70,1,1,"51+",39602,605,2.1,0.1033,0,0,3
71,0,1,"31-50",36497,603,9.6,0.2253,0,0,1
72,0,1,"51+",34856,606,5.2,0.0864,1,0,1
73,0,1,"31-50",30149,755,5.6,0.4902,0,0,1
74,1,1,"18-30",39898,646,11.4,0.446,0,0,3
75,1,0,"31-50",42025,625,3.5,0.2619,1,0,2
76,1,0,"18-30",43344,718,7,0.7972,1,1,2
77,1,1,"51+",29267,729,2.9,0.746,0,1,3
78,0,1,"51+",32233,642,12.8,0.3835,0,0,1
